Station,Station_Type,Year,Month,Day,Daily Rainfall Total (mm),Mean Temperature (Celsius),Maximum Temperature (Celsius),Minimum Temperature (Celsius),Mean Wind Speed (km/h)
Admiralty,Full AWS Station,2018,3,20,0,28.1,33.5,26,10.4
Admiralty,Full AWS Station,2018,3,21,0,27.9,32.6,25.6,8.3
Admiralty,Full AWS Station,2018,3,22,0,28.5,33.1,26.2,16.2
Admiralty,Full AWS Station,2018,3,23,0,28.4,32.7,25.9,15.1
Admiralty,Full AWS Station,2018,3,24,0,27.9,32.2,24.9,12.6
Admiralty,Full AWS Station,2018,3,25,2.4,26.6,30.3,24.6,8.3
Admiralty,Full AWS Station,2018,3,26,0,27.5,32.3,25.5,10.4
Admiralty,Full AWS Station,2018,3,27,3,25.1,27.3,23.5,10.8
Admiralty,Full AWS Station,2018,3,28,11.6,26.4,33.3,23,7.2
Admiralty,Full AWS Station,2018,3,29,2.6,26.5,30.8,24.3,6.8
Admiralty,Full AWS Station,2018,3,30,9,26.1,32.1,22.4,6.1
Admiralty,Full AWS Station,2018,3,31,0,27.5,33.6,24.7,8.3
Admiralty,Full AWS Station,2018,4,1,32.2,27,32.3,22.6,9
Admiralty,Full AWS Station,2018,4,2,0.2,28.1,32.5,25.5,9.7
Admiralty,Full AWS Station,2018,4,3,0,28.3,32.5,25.9,11.9
Admiralty,Full AWS Station,2018,4,4,0,28.2,32.7,25.8,12.2
Admiralty,Full AWS Station,2018,4,5,0,28.1,33.4,25.3,11.5
Admiralty,Full AWS Station,2018,4,6,0,28.1,33.3,25.2,10.1
Admiralty,Full AWS Station,2018,4,7,2.8,27.6,32.8,25.5,11.5
Admiralty,Full AWS Station,2018,4,8,0,27.9,31.4,26,14.8
Admiralty,Full AWS Station,2018,4,9,0,28.3,31.9,26.1,16.6
Admiralty,Full AWS Station,2018,4,10,0,28.5,32.9,26,9.7
Admiralty,Full AWS Station,2018,4,11,0,28.9,33.2,25.8,11.9
Admiralty,Full AWS Station,2018,4,12,0,29.1,33.6,26.5,10.8
Admiralty,Full AWS Station,2018,4,13,0,29.1,33.3,26.7,13.7
Admiralty,Full AWS Station,2018,4,14,28.6,27.4,30.9,24.3,6.5
Admiralty,Full AWS Station,2018,4,15,15.6,26.7,32.7,24.4,6.8
Admiralty,Full AWS Station,2018,4,16,2.6,26,30.1,24.9,6.5
Admiralty,Full AWS Station,2018,4,17,0.2,27.3,33.1,25,6.5
Admiralty,Full AWS Station,2018,4,18,0,28.5,32.5,25.7,11.9
Admiralty,Full AWS Station,2018,4,19,1.2,27.7,32.5,25.6,7.9
Admiralty,Full AWS Station,2018,4,20,27.6,27.1,32.1,24,8.6
Admiralty,Full AWS Station,2018,4,21,13.4,26.6,32.4,24.5,5.8
Admiralty,Full AWS Station,2018,4,22,12,27.4,33.8,25,5.8
Admiralty,Full AWS Station,2018,4,23,1,26.9,32.9,24.3,6.1
Admiralty,Full AWS Station,2018,4,24,0.8,28,31.3,25.1,6.5
Admiralty,Full AWS Station,2018,4,25,0,29.5,33.2,26.1,7.6
Admiralty,Full AWS Station,2018,4,26,30,28.6,33.9,24,8.3
Admiralty,Full AWS Station,2018,4,27,15.8,26.4,33.2,22.9,6.8
Admiralty,Full AWS Station,2018,4,28,54.2,27.1,34.8,22,6.1
Admiralty,Full AWS Station,2018,4,29,0,29.2,33.6,24.8,6.5
Admiralty,Full AWS Station,2018,4,30,6.4,28.3,33.5,24.5,9
Admiralty,Full AWS Station,2018,5,1,6.6,26.1,28.3,25.3,5.4
Admiralty,Full AWS Station,2018,5,2,0.4,27.5,34.8,24.4,5.4
Admiralty,Full AWS Station,2018,5,3,3.2,27.7,34.3,25.1,5.4
Admiralty,Full AWS Station,2018,5,4,3,28.4,35.1,25.5,5.4
Admiralty,Full AWS Station,2018,5,5,18,27.2,31.2,25.1,5.8
Admiralty,Full AWS Station,2018,5,6,0,28.7,33.8,25.6,6.5
Admiralty,Full AWS Station,2018,5,7,0,29.5,33.9,25.9,6.5
Admiralty,Full AWS Station,2018,5,8,0,30.1,34.1,26.8,7.6
Admiralty,Full AWS Station,2018,5,9,0,30.2,34.5,28.2,11.2
Admiralty,Full AWS Station,2018,5,10,0,29.5,33.1,27.1,8.6
Admiralty,Full AWS Station,2018,5,11,3,29.1,32.9,27.3,7.2
Admiralty,Full AWS Station,2018,5,12,21,29.1,34.2,25.3,7.9
Admiralty,Full AWS Station,2018,5,13,2.2,27.9,31.5,25.1,5
Admiralty,Full AWS Station,2018,5,14,0,28.9,33.3,26.5,5.4
Admiralty,Full AWS Station,2018,5,15,8.2,28.1,32.3,26.4,4.3
Admiralty,Full AWS Station,2018,5,16,89.4,26.7,32.8,22.7,5.4
Admiralty,Full AWS Station,2018,5,17,20.2,27.7,31.9,24.4,4.3
Admiralty,Full AWS Station,2018,5,18,43.6,27.1,32.7,23.2,6.1
Admiralty,Full AWS Station,2018,5,19,0.2,27.1,33.5,25,5
Admiralty,Full AWS Station,2018,5,20,0.8,26.7,30.1,25.1,4.7
Admiralty,Full AWS Station,2018,5,21,0,28,32.1,25.9,4.7
Admiralty,Full AWS Station,2018,5,22,0,28,33.3,26,5.8
Admiralty,Full AWS Station,2018,5,23,3.4,27.1,30.6,24.5,7.6
Admiralty,Full AWS Station,2018,5,24,1,28.2,34.4,24,10.1
Admiralty,Full AWS Station,2018,5,25,0,28.9,34.1,25.8,7.6
Admiralty,Full AWS Station,2018,5,26,13.4,27.7,32.6,24.5,6.1
Admiralty,Full AWS Station,2018,5,27,1.4,27.4,32.3,25.2,6.1
Admiralty,Full AWS Station,2018,5,28,2.2,27.5,30,25.4,5.8
Admiralty,Full AWS Station,2018,5,29,7.6,28.1,32.7,24.7,5.8
Admiralty,Full AWS Station,2018,5,30,0,27.5,32,25.8,5
Admiralty,Full AWS Station,2018,5,31,0,27.8,31.2,25.8,5.4
Admiralty,Full AWS Station,2018,6,1,13.8,27.5,31,24.4,5.4
Admiralty,Full AWS Station,2018,6,2,40.8,27,31.3,22.2,5.8
Admiralty,Full AWS Station,2018,6,3,0,28.7,32.4,26.2,5.4
Admiralty,Full AWS Station,2018,6,4,0,29.8,33.5,26.7,5.4
Admiralty,Full AWS Station,2018,6,5,0,29.8,33.9,25.1,6.5
Admiralty,Full AWS Station,2018,6,6,0,30.1,34,26.7,6.1
Admiralty,Full AWS Station,2018,6,7,0,30.3,34.1,28.4,6.5
Admiralty,Full AWS Station,2018,6,8,0,28.9,32.6,24.7,7.6
Admiralty,Full AWS Station,2018,6,9,0,29.5,33,26.5,5.4
Admiralty,Full AWS Station,2018,6,10,0,29.5,32.1,27.9,6.5
Admiralty,Full AWS Station,2018,6,11,0,30.1,33.7,28.1,7.2
Admiralty,Full AWS Station,2018,6,12,0,29.7,32.3,28.3,6.1
Admiralty,Full AWS Station,2018,6,13,4.2,27.9,31.3,24.8,6.1
Admiralty,Full AWS Station,2018,6,14,0.8,28.1,31.8,25.8,4.7
Admiralty,Full AWS Station,2018,6,15,0.8,26.9,28.4,23.7,5.4
Admiralty,Full AWS Station,2018,6,16,0,28.9,33,25.8,6.1
Admiralty,Full AWS Station,2018,6,17,0,29.7,32.9,27.6,5.8
Admiralty,Full AWS Station,2018,6,18,2,28.1,30.8,25,5.4
Admiralty,Full AWS Station,2018,6,19,3.4,27.4,30.2,23.7,7.9
Admiralty,Full AWS Station,2018,6,20,3.6,26.6,30.2,24.3,5
Admiralty,Full AWS Station,2018,6,21,3.4,27.1,32.4,25.1,5.8
Admiralty,Full AWS Station,2018,6,22,24.4,27.7,32.8,25,5.4
Admiralty,Full AWS Station,2018,6,23,3.4,26.3,29.9,24.5,6.1
Admiralty,Full AWS Station,2018,6,24,0,26.6,30.1,24.1,7.9
Admiralty,Full AWS Station,2018,6,25,3,26.7,30.4,23.4,6.5
Admiralty,Full AWS Station,2018,6,26,3,26.5,27.9,24.5,3.2
Admiralty,Full AWS Station,2018,6,27,46.6,25.1,26.9,22.4,5.8
Admiralty,Full AWS Station,2018,6,28,0,27.5,31.5,24.5,5
Admiralty,Full AWS Station,2018,6,29,8.6,25.7,26.8,23.2,4.3
Admiralty,Full AWS Station,2018,6,30,0,27.8,30.3,25.2,5
Admiralty,Full AWS Station,2018,7,1,35,25.8,27.7,21.6,5.4
Admiralty,Full AWS Station,2018,7,2,0.8,27,31.2,24.7,4
Admiralty,Full AWS Station,2018,7,3,5.2,27.3,31,22.7,5.8
Admiralty,Full AWS Station,2018,7,4,0.6,28.3,32.2,25.3,5
Admiralty,Full AWS Station,2018,7,5,0,28.8,32.3,26.3,6.1
Admiralty,Full AWS Station,2018,7,6,0,28.7,32.6,26.6,7.2
Admiralty,Full AWS Station,2018,7,7,0,28.5,32.1,26,7.2
Admiralty,Full AWS Station,2018,7,8,0,28.7,32.1,26.5,6.1
Admiralty,Full AWS Station,2018,7,9,1.2,28.6,32.2,25.2,5.8
Admiralty,Full AWS Station,2018,7,10,13,26.7,28.5,22.8,9.4
Admiralty,Full AWS Station,2018,7,11,0,28.1,31.5,26.3,5
Admiralty,Full AWS Station,2018,7,12,0,29.2,34.4,27.2,6.1
Admiralty,Full AWS Station,2018,7,13,0,29,31.8,26.9,7.2
Admiralty,Full AWS Station,2018,7,14,10.2,27.5,30.6,21.9,6.1
Admiralty,Full AWS Station,2018,7,15,4.2,27.5,31.2,22.6,6.1
Admiralty,Full AWS Station,2018,7,16,0,29,32.8,26.7,6.8
Admiralty,Full AWS Station,2018,7,17,0,28.9,31.7,26.9,7.2
Admiralty,Full AWS Station,2018,7,18,0,29,32.1,27.2,7.9
Admiralty,Full AWS Station,2018,7,19,19,28.3,31.7,23.7,6.8
Admiralty,Full AWS Station,2018,7,20,8,29,33,25.5,5.4
Admiralty,Full AWS Station,2018,7,21,12.8,28.7,32,24.6,5.4
Admiralty,Full AWS Station,2018,7,22,1.6,28.2,32,26.8,4.7
Admiralty,Full AWS Station,2018,7,23,0,29.4,33.7,26.2,6.8
Admiralty,Full AWS Station,2018,7,24,0,29.7,33.8,27.4,8.6
Admiralty,Full AWS Station,2018,7,25,0.8,27.4,30.1,24.3,7.2
Admiralty,Full AWS Station,2018,7,26,0,28.8,33.6,25.5,6.8
Admiralty,Full AWS Station,2018,7,27,0,29.3,33.4,27,7.2
Admiralty,Full AWS Station,2018,7,28,0,29.8,33.6,27.2,7.2
Admiralty,Full AWS Station,2018,7,29,0,29.2,32.9,27.3,6.8
Admiralty,Full AWS Station,2018,7,30,8,26.6,28.4,24.4,7.2
Admiralty,Full AWS Station,2018,7,31,0,27.8,31.7,26.3,5.4
Admiralty,Full AWS Station,2018,8,1,0.8,26.3,27.5,25.3,6.8
Admiralty,Full AWS Station,2018,8,2,0,28,32.2,25.8,6.1
Admiralty,Full AWS Station,2018,8,3,0,28.6,32,25.5,7.6
Admiralty,Full AWS Station,2018,8,4,0.4,28,32.7,25.1,8.3
Admiralty,Full AWS Station,2018,8,5,0,27.9,29.8,26.4,6.1
Admiralty,Full AWS Station,2018,8,6,0,28.4,31.6,26.6,6.5
Admiralty,Full AWS Station,2018,8,7,0,28.4,31.1,26.8,6.8
Admiralty,Full AWS Station,2018,8,8,9.8,26.5,30.1,21.5,7.2
Admiralty,Full AWS Station,2018,8,9,0,28.7,32.2,26.2,5.4
Admiralty,Full AWS Station,2018,8,10,0,29.2,32.4,26.9,6.5
Admiralty,Full AWS Station,2018,8,11,0,29.4,33.8,26.8,6.8
Admiralty,Full AWS Station,2018,8,12,0,29.5,33.6,26.7,6.1
Admiralty,Full AWS Station,2018,8,13,0,29.8,33.7,27.2,7.6
Admiralty,Full AWS Station,2018,8,14,0,29.7,33.5,27.7,7.9
Admiralty,Full AWS Station,2018,8,15,0,29.8,33.6,27.8,9.4
Admiralty,Full AWS Station,2018,8,16,0,29.4,33,27.1,7.2
Admiralty,Full AWS Station,2018,8,17,2.6,28.3,30.9,25.1,7.6
Admiralty,Full AWS Station,2018,8,18,2.2,28.9,32.6,25,7.9
Admiralty,Full AWS Station,2018,8,19,0,29.4,33.3,27.5,10.1
Admiralty,Full AWS Station,2018,8,20,0,29.4,32.6,27.3,8.6
Admiralty,Full AWS Station,2018,8,21,0,29.4,33.2,27.1,7.6
Admiralty,Full AWS Station,2018,8,22,27.6,26.7,29.3,23.8,5
Admiralty,Full AWS Station,2018,8,23,0.6,28.6,33.5,25.7,6.1
Admiralty,Full AWS Station,2018,8,24,8.8,26.7,28.8,24.1,5
Admiralty,Full AWS Station,2018,8,25,0,27.9,32.7,24.8,6.5
Admiralty,Full AWS Station,2018,8,26,0,29.3,33.7,26.3,6.1
Admiralty,Full AWS Station,2018,8,27,0,29.2,33.4,25.6,8.6
Admiralty,Full AWS Station,2018,8,28,3.8,27.5,31,24.1,5.8
Admiralty,Full AWS Station,2018,8,29,0,27.9,31.6,25.2,5.8
Admiralty,Full AWS Station,2018,8,30,0,28.6,32.4,25.2,6.8
Admiralty,Full AWS Station,2018,8,31,14.6,27.1,31.9,23.1,7.6
Admiralty,Full AWS Station,2018,9,1,5,26.9,33.2,23.8,5.4
Admiralty,Full AWS Station,2018,9,2,1,26.9,29.4,24.7,4.7
Admiralty,Full AWS Station,2018,9,3,0,27.7,31,24.7,5.8
Admiralty,Full AWS Station,2018,9,4,22.6,25.7,27.7,21.9,5.4
Admiralty,Full AWS Station,2018,9,5,0,27.2,31.5,24.3,5
Admiralty,Full AWS Station,2018,9,6,0,27.8,32.6,25,5.8
Admiralty,Full AWS Station,2018,9,7,7.6,26.4,30.1,24.4,4.3
Admiralty,Full AWS Station,2018,9,8,6.4,26.6,30.2,23.6,5.4
Admiralty,Full AWS Station,2018,9,9,5.4,27.5,31,24.9,4.7
Admiralty,Full AWS Station,2018,9,10,0.6,27.1,31.5,25.3,5.8
Admiralty,Full AWS Station,2018,9,11,0.2,26.5,30.1,24.6,5.8
Admiralty,Full AWS Station,2018,9,12,0,27.8,31.4,22.6,6.1
Admiralty,Full AWS Station,2018,9,13,0,29.3,33.1,26,5.4
Admiralty,Full AWS Station,2018,9,14,0,29.2,32.9,26.7,7.2
Admiralty,Full AWS Station,2018,9,15,0,28.8,31.8,27.3,6.1
Admiralty,Full AWS Station,2018,9,16,0,28.4,31.1,27.1,6.5
Admiralty,Full AWS Station,2018,9,17,0,28.8,32.4,25.7,6.8
Admiralty,Full AWS Station,2018,9,18,0,27.5,30.8,24.6,6.5
Admiralty,Full AWS Station,2018,9,19,17.8,26.4,32.5,23.1,6.8
Admiralty,Full AWS Station,2018,9,20,15.4,26.3,32,22.3,6.5
Admiralty,Full AWS Station,2018,9,21,37,25.8,31.4,22,5
Admiralty,Full AWS Station,2018,9,22,0.2,26.8,31.2,24.7,6.1
Admiralty,Full AWS Station,2018,9,23,0,28.9,33.9,24.4,6.5
Admiralty,Full AWS Station,2018,9,24,0,29.4,34,25.5,7.2
Admiralty,Full AWS Station,2018,9,25,0,29.3,34.1,26.1,8.3
Admiralty,Full AWS Station,2018,9,26,61.2,28.2,33.2,23,7.9
Admiralty,Full AWS Station,2018,9,27,0,29.2,33.8,25.5,6.1
Admiralty,Full AWS Station,2018,9,28,0,29.7,33.6,26.7,7.2
Admiralty,Full AWS Station,2018,9,29,0,29.7,35.2,27.1,8.3
Admiralty,Full AWS Station,2018,9,30,0.2,29.2,33.1,27.3,9.4
Admiralty,Full AWS Station,2018,10,1,0,29.5,33.5,27.3,9.4
Admiralty,Full AWS Station,2018,10,2,0,29.9,34.3,26.9,6.8
Admiralty,Full AWS Station,2018,10,3,0,29.4,34.3,26.5,6.5
Admiralty,Full AWS Station,2018,10,4,0,30,34.1,27.9,9
Admiralty,Full AWS Station,2018,10,5,0,29.9,34.1,26.4,7.9
Admiralty,Full AWS Station,2018,10,6,14.6,27.7,33.1,24.7,7.9
Admiralty,Full AWS Station,2018,10,7,17.8,26.5,30.5,23.6,7.6
Admiralty,Full AWS Station,2018,10,8,28.2,26.2,31.6,23.9,5.4
Admiralty,Full AWS Station,2018,10,9,10,25.9,30.4,24.2,4.7
Admiralty,Full AWS Station,2018,10,10,43.2,25.9,31.7,23.4,5.4
Admiralty,Full AWS Station,2018,10,11,60.6,26.3,32.2,23.1,6.8
Admiralty,Full AWS Station,2018,10,12,6,26.5,30,24.4,7.9
Admiralty,Full AWS Station,2018,10,13,0.6,26.7,29.2,24.6,5
Admiralty,Full AWS Station,2018,10,14,11.6,25.5,27.1,23.7,5.8
Admiralty,Full AWS Station,2018,10,15,0,28.1,33.5,24.9,6.5
Admiralty,Full AWS Station,2018,10,16,0,27.2,33.2,25.1,6.1
Admiralty,Full AWS Station,2018,10,17,0,27.2,30.7,25,5.8
Admiralty,Full AWS Station,2018,10,18,0,26.4,28.6,23.2,8.3
Admiralty,Full AWS Station,2018,10,19,2,27.8,31.7,24.1,7.9
Admiralty,Full AWS Station,2018,10,20,0,29,33.4,26.4,6.5
Admiralty,Full AWS Station,2018,10,21,0,28.5,33.6,25.8,6.5
Admiralty,Full AWS Station,2018,10,22,0.8,28.3,35.4,24.5,7.6
Admiralty,Full AWS Station,2018,10,23,9.6,26.9,33.3,23.6,6.5
Admiralty,Full AWS Station,2018,10,24,0,26.9,32,25.2,7.9
Admiralty,Full AWS Station,2018,10,25,8.4,26.8,31.3,24.3,5.8
Admiralty,Full AWS Station,2018,10,26,20.2,27.6,34.3,24,5.8
Admiralty,Full AWS Station,2018,10,27,0.4,27.4,31.4,24.9,6.1
Admiralty,Full AWS Station,2018,10,28,10.8,26.7,32.5,23.9,6.1
Admiralty,Full AWS Station,2018,10,29,4.8,26.9,33.2,24.5,5.8
Admiralty,Full AWS Station,2018,10,30,4,27.1,33.1,25.2,6.5
Admiralty,Full AWS Station,2018,10,31,0.2,27,30.5,24.8,9.4
Admiralty,Full AWS Station,2018,11,1,2,26.4,29.1,24.8,9.4
Admiralty,Full AWS Station,2018,11,2,2.2,26.5,29.2,24.4,8.3
Admiralty,Full AWS Station,2018,11,3,5.8,26.6,31,25.1,5
Admiralty,Full AWS Station,2018,11,4,4.4,27.1,32.2,25,7.2
Admiralty,Full AWS Station,2018,11,5,3.2,27,33,25,5.4
Admiralty,Full AWS Station,2018,11,6,6.6,26.6,33,23.7,7.6
Admiralty,Full AWS Station,2018,11,7,0.2,28,32.7,24.7,7.2
Admiralty,Full AWS Station,2018,11,8,10.4,27.5,33.5,24.1,8.6
Admiralty,Full AWS Station,2018,11,9,16.8,26.8,29.8,24.4,6.5
Admiralty,Full AWS Station,2018,11,10,8.4,27.4,34,24.9,5.8
Admiralty,Full AWS Station,2018,11,11,9.7,26.3,31.9,23.7,6.1
Admiralty,Full AWS Station,2018,11,12,59.2,27.2,33.6,23.6,6.5
Admiralty,Full AWS Station,2018,11,13,14.2,26.9,31,23.6,6.5
Admiralty,Full AWS Station,2018,11,14,10,27.4,31.1,23.9,5.8
Admiralty,Full AWS Station,2018,11,15,15,26,30.5,23.3,6.5
Admiralty,Full AWS Station,2018,11,16,0.2,27.9,33,24.5,5.8
Admiralty,Full AWS Station,2018,11,17,11.2,27.3,31.3,22,6.8
Admiralty,Full AWS Station,2018,11,18,0.4,26.9,32,24.1,6.5
Admiralty,Full AWS Station,2018,11,19,14.6,26.7,32.6,23.8,6.5
Admiralty,Full AWS Station,2018,11,20,0.6,27.4,31.6,23.7,6.5
Admiralty,Full AWS Station,2018,11,21,40,26.3,29.6,22.7,7.6
Admiralty,Full AWS Station,2018,11,22,49,26.6,30.1,22.9,6.1
Admiralty,Full AWS Station,2018,11,23,1,27.7,31.6,25.1,8.6
Admiralty,Full AWS Station,2018,11,24,0.2,27.9,32.2,24.6,7.6
Admiralty,Full AWS Station,2018,11,25,11.2,28.1,31,23,6.5
Admiralty,Full AWS Station,2018,11,26,1.6,27.9,32.1,24.7,7.9
Admiralty,Full AWS Station,2018,11,27,2.8,26.8,28.6,24.3,7.6
Admiralty,Full AWS Station,2018,11,28,2.8,27.5,31.1,25.7,8.6
Admiralty,Full AWS Station,2018,11,29,3.6,27.6,31.6,25.3,7.9
Admiralty,Full AWS Station,2018,11,30,0.4,27.3,30.1,25.4,9.7
Admiralty,Full AWS Station,2018,12,1,49.2,26.4,31.1,23.6,9.7
Admiralty,Full AWS Station,2018,12,2,2.2,26.4,32,24.5,9.7
Admiralty,Full AWS Station,2018,12,3,5.6,26.4,30.4,24.7,5.8
Admiralty,Full AWS Station,2018,12,4,1.6,27.9,33.4,24.7,8.3
Admiralty,Full AWS Station,2018,12,5,29,26.8,31.7,23.7,7.6
Admiralty,Full AWS Station,2018,12,6,0.8,26.5,30.8,25.1,6.5
Admiralty,Full AWS Station,2018,12,7,11,26.9,31.8,24.8,6.1
Admiralty,Full AWS Station,2018,12,8,15.6,26.6,32.7,23.8,6.1
Admiralty,Full AWS Station,2018,12,9,0,27.8,32.8,25.3,7.6
Admiralty,Full AWS Station,2018,12,10,6.4,27.3,32.6,24.8,7.2
Admiralty,Full AWS Station,2018,12,11,35.8,25.9,32.3,24,7.9
Admiralty,Full AWS Station,2018,12,12,4.2,26.5,31,24.8,6.5
Admiralty,Full AWS Station,2018,12,13,0,26,29.1,25,9
Admiralty,Full AWS Station,2018,12,14,0,26.6,29.2,24.6,9.7
Admiralty,Full AWS Station,2018,12,15,25.6,26.3,32.4,24,6.1
Admiralty,Full AWS Station,2018,12,16,11.8,26.5,32.4,24,7.2
Admiralty,Full AWS Station,2018,12,17,1.4,27.2,31.6,24.5,6.5
Admiralty,Full AWS Station,2018,12,18,0.4,27.8,31.8,25.3,9
